"location_key","source","external_id","name","locality","country_iso","owner_name","provider_name","is_monitor","is_mobile","latitude","longitude","geom","created_at","updated_at"
"openaq:4131363","openaq","4131363","KU faculty of environnment","NaN","TH","HealthDEEP IRL","AirGradient",False,False,13.85574,100.570032,"0101000020E61000001A6B7F677B24594012C2A38D23B62B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:4133388","openaq","4133388","Kasetsat University","NaN","TH","HealthDEEP IRL","AirGradient",False,False,13.85574,100.570032,"0101000020E61000001A6B7F677B24594012C2A38D23B62B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:418","openaq","418","Department of Disease Control","NaN","TH","Unknown Governmental Organization","Air4Thai",True,False,13.853457,100.527132,"0101000020E6100000342BDB87BC215940A515DF50F8B42B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:418809","openaq","418809","National Housing Authority Klongchan","Bangkok","TH","Unknown Governmental Organization","Air4Thai",True,False,13.76121,100.517035,"0101000020E6100000CBF8F71917215940BDC62E51BD852B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:418810","openaq","418810","Southeast Asia University, Bangkok (Mobile)","NaN","TH","Unknown Governmental Organization","Air4Thai",True,False,13.70735,100.35391,"0101000020E61000008DEE2076A6165940B5A679C7296A2B40","2026-06-06 13:35:24.296129+00","2026-06-10 15:53:52.679314+00"
"openaq:4213488","openaq","4213488","KU Faculty of environnment","NaN","TH","HealthDEEP IRL","AirGradient",False,False,13.85574,100.570032,"0101000020E61000001A6B7F677B24594012C2A38D23B62B40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:4526987","openaq","4526987","Monumento, Caloocan","NaN","PH","Clarity","Clarity",False,False,14.65744,120.98362,"0101000020E610000042EC4CA1F33E5E401B2AC6F99B502D40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:4526988","openaq","4526988","Near Katipunan Ave., Quezon City","NaN","PH","Clarity","Clarity",False,False,14.63842,121.0767,"0101000020E61000009BE61DA7E8445E4082397AFCDE462D40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:4526989","openaq","4526989","Bradco Ave. cor Macapagal","NaN","PH","Clarity","Clarity",False,False,14.52917,120.98988,"0101000020E6100000BABDA4315A3F5E40740CC85EEF0E2D40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:4565934","openaq","4565934","Manila Observatory","NaN","PH","Manila Observatory","AirGradient",False,False,14.6354,121.0779,"0101000020E6100000F0164850FC445E40BEC1172653452D40","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
"openaq:4576354","openaq","4576354","Choa Chu Kang","NaN","SG","AirGradient","AirGradient",False,False,1.3836628874274692,103.74700933032665,"0101000020E6100000D4E33800CFEF5940DF0923B27B23F63F","2026-06-09 17:50:16.015093+00","2026-06-10 15:53:52.679314+00"
